Document Date,zorto,Maxp,Survevlia,Jecco,Year,Month,Date
02-14-2011,23.67,31.33,67.9,66.34,2011,February,14
03-01-2011,56.23,67.9,67.9,16.53,2011,March,1
03-02-2011,67.89,67.9,16.53,66.34,2011,March,2
03-05-2011,12.56,16.53,12.56,66.34,2011,March,5
03-15-2011,23.56,67.9,75.18,66.34,2011,March,15
03-15-2011,90.67,16.53,67.9,41.65,2011,March,15
03-15-2011,23.34,41.65,75.18,41.65,2011,March,15
03-15-2011,66.34,16.53,16.53,66.34,2011,March,15
03-18-2011,89.52,67.9,12.56,66.34,2011,March,18
03-20-2011,33.12,16.53,75.18,66.34,2011,March,20
03-20-2011,67.9,41.65,67.9,66.34,2011,March,20
03-26-2011,12.34,75.18,16.53,66.34,2011,March,26
03-26-2012,11.67,16.53,66.34,66.34,2012,March,26
03-26-2013,23.67,12.56,75.18,41.65,2013,March,26
03-26-2014,29.61,31.33,67.9,41.65,2014,March,26
03-31-2011,41.65,16.53,66.34,12.56,2011,March,31
03-31-2011,31.33,31.33,16.53,12.56,2011,March,31
04-01-2011,12.56,41.65,16.53,12.56,2011,April,1
04-05-2011,75.18,75.18,16.53,41.65,2011,April,5
04-12-2011,31.33,67.9,66.34,41.65,2011,April,12
04-15-2011,31.33,75.18,75.18,41.65,2011,April,15
04-15-2012,41.65,67.9,75.18,12.56,2012,April,15
04-15-2013,31.33,75.18,16.53,12.56,2013,April,15
04-20-2011,31.33,67.9,66.34,12.56,2011,April,20
04-20-2011,12.56,75.18,75.18,12.56,2011,April,20
04-25-2011,12.56,16.53,75.18,41.65,2011,April,25
04-26-2011,31.33,75.18,66.34,75.18,2011,April,26
04-26-2011,12.56,16.53,75.18,75.18,2011,April,26
